title,col,wdl_url,ins_key,pub_key,dewey_dec_code,type_id,date,item_id
Olney Hymns: In Three Books,col_17,https://www.wdl.org/en/item/621,ins_1,pub_163,264.782,bk,1779,593
Olney Hymns: In Three Books,col_17,https://www.wdl.org/en/item/621,ins_1,pub_163,264.782,bk,1779,12523
"The Voyage of the Sieur Le Maire, to the Canary Islands, Cape-Verde, Senegal, and Gambia",col_17,https://www.wdl.org/en/item/638,ins_1,pub_175,910.966,bk,1745,609
"The Voyage of the Sieur Le Maire, to the Canary Islands, Cape-Verde, Senegal, and Gambia",col_17,https://www.wdl.org/en/item/638,ins_1,pub_175,910.966,bk,1745,12539
Travels into the Inland Parts of Africa: Containing a Description of the Several Nations for the Space of Six Hundred Miles up the River Gambia,col_17,https://www.wdl.org/en/item/650,ins_1,pub_182,916,bk,1738,621
Travels into the Inland Parts of Africa: Containing a Description of the Several Nations for the Space of Six Hundred Miles up the River Gambia,col_17,https://www.wdl.org/en/item/650,ins_1,pub_182,916,bk,1738,12551
"A Relation of the Late Intended Settlement of the Islands of St. Lucia and St. Vincent, in America: in Right of the Duke of Montagu, and Under His Grace''s Direction and Orders, in the Year 1722",col_17,https://www.wdl.org/en/item/674,ins_1,pub_193,972,bk,1725,643
"A Relation of the Late Intended Settlement of the Islands of St. Lucia and St. Vincent, in America: in Right of the Duke of Montagu, and Under His Grace''s Direction and Orders, in the Year 1722",col_17,https://www.wdl.org/en/item/674,ins_1,pub_193,972,bk,1725,12573
"The History of Genghizcan the Great, First Emperor of the Antient Moguls and Tartars",col_17,https://www.wdl.org/en/item/2378,ins_1,pub_219,920.950,bk,1722,1362
"The History of Genghizcan the Great, First Emperor of the Antient Moguls and Tartars",col_17,https://www.wdl.org/en/item/2378,ins_1,pub_219,920.950,bk,1722,13292
"A Voyage to the East Indies: Containing Authentic Accounts of the Mogul Government in General, the Viceroyalties of the Decan and Bengal, with Their Several Subordinate Dependencies",col_17,https://www.wdl.org/en/item/2386,ins_1,pub_226,915,bk,1772,1369
"A Voyage to the East Indies: Containing Authentic Accounts of the Mogul Government in General, the Viceroyalties of the Decan and Bengal, with Their Several Subordinate Dependencies",col_17,https://www.wdl.org/en/item/2386,ins_1,pub_226,915,bk,1772,13299
Tam o' Shanter Proof Sheets,col_86,https://www.wdl.org/en/item/3434,ins_38,pub_226,821,ms,1791,2243
Tam o' Shanter Proof Sheets,col_86,https://www.wdl.org/en/item/3434,ins_38,pub_226,821,ms,1791,14173
The History of Persia,col_17,https://www.wdl.org/en/item/2399,ins_1,pub_239,915.955,bk,1715,1382
The History of Persia,col_17,https://www.wdl.org/en/item/2399,ins_1,pub_239,915.955,bk,1715,13312
"Memoirs and Travels of Mauritius Augustus Count de Benyowsky: Consisting of His Military Operations in Poland, His Exile into Kamchatka, His Escape and Voyage from that Peninsula through the Northern Pacific Ocean, Touching at Japan and Formosa, to Canton in China, with an Account of the French Settlement He Was Appointed to Form upon the Island of Madagascar",col_17,https://www.wdl.org/en/item/2547,ins_1,pub_267,910,bk,1790,1514
"Memoirs and Travels of Mauritius Augustus Count de Benyowsky: Consisting of His Military Operations in Poland, His Exile into Kamchatka, His Escape and Voyage from that Peninsula through the Northern Pacific Ocean, Touching at Japan and Formosa, to Canton in China, with an Account of the French Settlement He Was Appointed to Form upon the Island of Madagascar",col_17,https://www.wdl.org/en/item/2547,ins_1,pub_267,910,bk,1790,13444
Brief Political Geography for the Instruction of Bulgarian Youth,col_25,https://www.wdl.org/en/item/277,ins_1,pub_99,910,bk,1835,270
Brief Political Geography for the Instruction of Bulgarian Youth,col_25,https://www.wdl.org/en/item/277,ins_1,pub_99,910,bk,1835,12200
Stories from Hans Andersen,col_30,https://www.wdl.org/en/item/338,ins_1,pub_111,839,bk,1911,325
Stories from Hans Andersen,col_30,https://www.wdl.org/en/item/338,ins_1,pub_111,839,bk,1911,12255
London Town,col_30,https://www.wdl.org/en/item/627,ins_1,pub_168,821,bk,1883,599
London Town,col_30,https://www.wdl.org/en/item/627,ins_1,pub_168,821,bk,1883,12529
Position of the UPC vis-à-vis Cameroon's Independence,col_44,https://www.wdl.org/en/item/637,ins_1,pub_174,967,bk,1960,608
Position of the UPC vis-à-vis Cameroon's Independence,col_44,https://www.wdl.org/en/item/637,ins_1,pub_174,967,bk,1960,12538
"Message from President Hassan Gouled Aptidon to the Nation on the Occasion of May 8th, 1977: Peace-Unity-Fraternity",col_44,https://www.wdl.org/en/item/645,ins_1,pub_180,323.967,bk,1977,616
"Message from President Hassan Gouled Aptidon to the Nation on the Occasion of May 8th, 1977: Peace-Unity-Fraternity",col_44,https://www.wdl.org/en/item/645,ins_1,pub_180,323.967,bk,1977,12546
"Ghana’s Policy at Home and Abroad: Text of Speech Given in the Ghana Parliament, August 29, 1957",col_44,https://www.wdl.org/en/item/651,ins_1,pub_183,966,bk,1957,622
"Ghana’s Policy at Home and Abroad: Text of Speech Given in the Ghana Parliament, August 29, 1957",col_44,https://www.wdl.org/en/item/651,ins_1,pub_183,966,bk,1957,12552
The Independence of the Republic of Congo: Texts of the Speeches Given at the Official Session of the National Assembly and During the Public Proclamation of Independence,col_44,https://www.wdl.org/en/item/2532,ins_1,pub_253,320,bk,1960,1499
The Independence of the Republic of Congo: Texts of the Speeches Given at the Official Session of the National Assembly and During the Public Proclamation of Independence,col_44,https://www.wdl.org/en/item/2532,ins_1,pub_253,320,bk,1960,13429
Respect for Human Dignity: an Inaugural Address,col_44,https://www.wdl.org/en/item/2536,ins_1,pub_257,352,bk,22236,1503
Respect for Human Dignity: an Inaugural Address,col_44,https://www.wdl.org/en/item/2536,ins_1,pub_257,352,bk,11/16/1960,13433
"Message from Mister Leopold Sedar Senghor, President of the Republic, to the Senegalese People",col_44,https://www.wdl.org/en/item/2538,ins_1,pub_259,320,bk,22165,1505
"Message from Mister Leopold Sedar Senghor, President of the Republic, to the Senegalese People",col_44,https://www.wdl.org/en/item/2538,ins_1,pub_259,320,bk,9/6/1960,13435
"Constitution of the Republic of Togo, May 5, 1963",col_44,https://www.wdl.org/en/item/2541,ins_1,pub_262,342,bk,23136,1508
"Constitution of the Republic of Togo, May 5, 1963",col_44,https://www.wdl.org/en/item/2541,ins_1,pub_262,342,bk,5/5/1963,13438
"Speech Delivered by Mister Houphouet-Boigny, Minister of State at the Geo-Andre Stadium in Abidjan on September 7, 1958",col_44,https://www.wdl.org/en/item/2544,ins_1,pub_265,320,bk,21435,1511
"Speech Delivered by Mister Houphouet-Boigny, Minister of State at the Geo-Andre Stadium in Abidjan on September 7, 1958",col_44,https://www.wdl.org/en/item/2544,ins_1,pub_265,320,bk,9/7/1958,13441
Constitution of the Republic of Rwanda,col_44,https://www.wdl.org/en/item/2559,ins_1,pub_275,342,bk,1962,1526
Constitution of the Republic of Rwanda,col_44,https://www.wdl.org/en/item/2559,ins_1,pub_275,342,bk,1962,13456
The Tale of Genji: Volumes 1-54,col_48,https://www.wdl.org/en/item/785,ins_1,pub_198,895,bk,1654,735
The Tale of Genji: Volumes 1-54,col_48,https://www.wdl.org/en/item/785,ins_1,pub_198,895,bk,1654,12665
"The Tale of Genji: Commentary on Key Words and Phrases, Volumes 55-57",col_48,https://www.wdl.org/en/item/2688,ins_1,pub_297,895,bk,1654,1638
"The Tale of Genji: Genealogy, Volume 58",col_48,https://www.wdl.org/en/item/2689,ins_1,pub_297,895,bk,1654,1639
"The Tale of Genji: Commentary on Key Words and Phrases, Volumes 55-57",col_48,https://www.wdl.org/en/item/2688,ins_1,pub_297,895,bk,1654,13568
"The Tale of Genji: Genealogy, Volume 58",col_48,https://www.wdl.org/en/item/2689,ins_1,pub_297,895,bk,1654,13569
"The Tale of Genji: A Sequel, Volume 59",col_48,https://www.wdl.org/en/item/2690,ins_1,pub_298,895,bk,1654,1640
"The Tale of Genji: Index, Volume 60",col_48,https://www.wdl.org/en/item/2691,ins_1,pub_298,895,bk,1654,1641
"The Tale of Genji: A Sequel, Volume 59",col_48,https://www.wdl.org/en/item/2690,ins_1,pub_298,895,bk,1654,13570
"The Tale of Genji: Index, Volume 60",col_48,https://www.wdl.org/en/item/2691,ins_1,pub_298,895,bk,1654,13571
Emigrants [i.e. Immigrants] Landing at Ellis Island,col_10,https://www.wdl.org/en/item/87,ins_1,pub_39,304.325,mp,1286,83
"New York Police Parade, June 1st, 1899",col_10,https://www.wdl.org/en/item/164,ins_1,pub_39,363.394,mp,1899-06-01,158
Emigrants [i.e. Immigrants] Landing at Ellis Island,col_10,https://www.wdl.org/en/item/87,ins_1,pub_39,304.325,mp,7/9/1903,12013
"New York Police Parade, June 1st, 1899",col_10,https://www.wdl.org/en/item/164,ins_1,pub_39,363.394,mp,1899-06-01,12088
"Lourdes, Procession, I",col_33,https://www.wdl.org/en/item/356,ins_1,pub_118,282.944,mp,1897,341
"Lourdes, Leaving the Church of the Rosary",col_33,https://www.wdl.org/en/item/357,ins_1,pub_118,282.944,mp,1897,342
"Lourdes, Transporting the Sick, I",col_33,https://www.wdl.org/en/item/358,ins_1,pub_118,282.944,mp,1897,343
Procession at Séville and Bullfighting Scenes,col_33,https://www.wdl.org/en/item/536,ins_1,pub_118,263.791,mp,1898/1899,515
"Lourdes, Transporting the Sick, II",col_33,https://www.wdl.org/en/item/2826,ins_1,pub_118,282.944,mp,1897,1774
"Lourdes, Procession, II",col_33,https://www.wdl.org/en/item/2882,ins_1,pub_118,282.944,mp,1897,1830
"Lourdes, Procession, III",col_33,https://www.wdl.org/en/item/2883,ins_1,pub_118,282.944,mp,1897,1831
"Lourdes, Procession, I",col_33,https://www.wdl.org/en/item/356,ins_1,pub_118,282.944,mp,1897,12271
"Lourdes, Leaving the Church of the Rosary",col_33,https://www.wdl.org/en/item/357,ins_1,pub_118,282.944,mp,1897,12272
"Lourdes, Transporting the Sick, I",col_33,https://www.wdl.org/en/item/358,ins_1,pub_118,282.944,mp,1897,12273
Procession at Séville and Bullfighting Scenes,col_33,https://www.wdl.org/en/item/536,ins_1,pub_118,263.791,mp,1898/1899,12445
"Lourdes, Transporting the Sick, II",col_33,https://www.wdl.org/en/item/2826,ins_1,pub_118,282.944,mp,1897,13704
"Lourdes, Procession, II",col_33,https://www.wdl.org/en/item/2882,ins_1,pub_118,282.944,mp,1897,13760
"Lourdes, Procession, III",col_33,https://www.wdl.org/en/item/2883,ins_1,pub_118,282.944,mp,1897,13761
"Kābul, Number 25, Volume 3, Issue 1, June 22, 1933",col_181,https://www.wdl.org/en/item/13076,ins_1,pub_1097,050.958,jr,12227,11433
"Kābul, Number 26, Volume 3, Issue 2, July 23, 1933",col_181,https://www.wdl.org/en/item/13077,ins_1,pub_1097,050.958,jr,12258,11434
"Kābul, Number 27, Volume 3, Issue 3, August 23, 1933",col_181,https://www.wdl.org/en/item/13078,ins_1,pub_1097,050.958,jr,12289,11435
"Kābul, Number 28, Volume 3, Issue 4, September 24, 1933",col_181,https://www.wdl.org/en/item/13079,ins_1,pub_1097,050.958,jr,12321,11436
"Kābul, Number 29, Volume 3, Issue 5, October 24, 1933",col_181,https://www.wdl.org/en/item/13080,ins_1,pub_1097,050.958,jr,12351,11437
"Kābul, Number 30, Volume 3, Issue 6, November 23, 1933",col_181,https://www.wdl.org/en/item/13081,ins_1,pub_1097,050.958,jr,12381,11438
"Kābul, Number 31, Volume 3, Issue 7, December 22, 1933",col_181,https://www.wdl.org/en/item/13082,ins_1,pub_1097,050.958,jr,12410,11439
"Kābul, Number 32, Volume 3, Issue 8, January 21, 1934",col_181,https://www.wdl.org/en/item/13083,ins_1,pub_1097,050.958,jr,12440,11440
"Kābul, Number 33, Volume 3, Issue 9, February 19, 1934",col_181,https://www.wdl.org/en/item/13084,ins_1,pub_1097,050.958,jr,12469,11441
