pub_key,Publisher
pub_446,De Bussy
pub_447,François Juste
pub_448,Daniel de la Feuille
pub_449,Izumiya Gonshiro
pub_450,Kinrindō
pub_451,Arnoul L'Angelier
pub_452,Masuda Shop before the Temple of the Shiba Shinmei mae
pub_453,Yamajin (Yamashiroya Jinbei)
pub_454,Orontius Fineus
pub_455,Étienne Michallet
pub_456,"Vincent Sertenas, Jean Longis, and Robert Le Mangnier. Printed by Annet Brière"
pub_457,Printed for R. Baldwin
pub_458,A. Strahan
pub_459,Wu Aheng
pub_460,Shao Tinglie
pub_461,Liu You Yang
pub_462,Ren Rui Tang
pub_463,Huang Chengzhi
pub_464,Di Xuan Ge
pub_465,Wan Juan Lou
pub_466,Pan Zuyin
pub_467,Zhong De Shu Tang
pub_468,Da You Tang
pub_469,Parliamentary Recruiting Committee
pub_470,Latham Lithography & Printing Company
pub_471,Maison d'Edition
pub_472,The National Committee for Relief in Belgium
pub_473,S.A.I.G.A. Armanino
pub_474,"Gazette Printing Co., Limited"
pub_475,Marchbanks Press
pub_476,E. Guazzoni
pub_477,Geroldi
pub_478,"Gleaner Company, Limited"
pub_479,Government Printing Office
pub_480,Hermes Buch u. Kunstdruckerei
pub_481,Howell Lithography
pub_482,The Hegeman Print
pub_483,Pichot
pub_484,Crespi e Cortina
pub_485,Dinse and Eckert
pub_486,National Organising Committee
pub_487,National Industrial Conservation Movement
pub_488,American Red Cross
pub_489,Chaix
pub_490,Lapina
pub_491,Sackett & Wilhelms Corporation
pub_492,Newspaper of the 10th Army
pub_493,B. Sirven
pub_494,Montreal Lithograph Company Limited
pub_495,Press Navy Recruiting Bureau
pub_496,Gesellschaft für Graphische Industrie
pub_497,Central Council for the Organisation of Recruiting in Ireland
pub_498,The United States Printing & Lithograph Company
pub_499,Montreal Lithographic Company Limited
pub_500,Chambrelent
pub_501,Berger-Levrault
pub_502,"Hudson & Kearns Limited, Lithography"
pub_503,Chemical Warfare Service
pub_504,J. Cussac
pub_505,Conwell Graphic Companies
pub_506,Ray Greenleaf
pub_507,Union for the Struggle against Bolshevism
pub_508,Stone Limited
pub_509,"Johnson, Riddle & Company, Limited"
pub_510,Vercasson
pub_511,Dinse & Eckert
pub_512,James Walker
pub_513,Rous & Mann
pub_514,Central Committee for National Patriotic Organisations
pub_515,Publication Section. Emergency Fleet Corporation
pub_516,Rotophot A.G.
pub_517,Instituto Italiano D'Arti Grafiche
pub_518,American Lithographic Company
pub_519,Neogravure Printing Company
pub_520,"Hill, Siffken & Company"
pub_521,M. Seeger
pub_522,"Central Recruiting Committee, Number 2 Military Division"
pub_523,"The Gleaner Company, Limited"
pub_524,J. Weiner
pub_525,"Central Board of Registration, Selective Draft, Territory of Hawaii"
pub_526,Liberty Loan Committee
pub_527,Section Cinématographique de l'Armée Française
pub_528,"Bradbury, Agnew & Company"
pub_529,"Miles & Company, Limited Lithography"
pub_530,Barron Collier
pub_531,Cornille & Serre
pub_532,Tang shi
pub_533,"Ruan, Zisong"
pub_534,Tian yi ge
pub_535,Gan Fengliao
pub_536,Shizhuzhai
pub_537,Nanjing Xing bu
pub_538,Kazan Imperial University Publishing House
pub_539,Romanus
pub_540,Yamadaya Shōbei or Shōjirō
pub_541,Kiya
pub_542,Matsuki Heikichi
pub_543,Maruya Jinpachi
pub_544,Marutetsu
pub_545,Claudio Duchetti
pub_546,United States. Army. Corps of Topographical Engineers
pub_547,Wisconsin. Board of Commissioners of Public Lands
pub_548,Land and River Improvement Company
pub_549,Hydrographic Office
pub_550,Bureau of Civil and Topographical Engineering
pub_551,Laurie & Whittle
pub_552,Printing House of Bezobrazov V.
pub_553,P.P. Soikin
pub_554,Maimana Publishing House
pub_555,Osman Publishing House
pub_556,V.Z. Erem’yev Typo-Lithography
pub_557,Turkestan Military District Headquarters Printing House
pub_558,Monastery of Saints Cyprian and Justina
pub_559,Ganwang Dian
pub_560,Qian Dai
pub_561,Cheng Sheren
pub_562,Conghua Shufang
pub_563,Wen yuan ge
pub_564,Haishan Xianguan
pub_565,Shide Tang
pub_566,Fuchun Tang
pub_567,Xiao Tenghong
pub_568,Chen Jiao
pub_569,日本東京康氏傳鈔古寫本
pub_570,John C.H. Grabill
pub_571,"Macmillan and Company, Limited"
pub_572,W. Heinemann
pub_573,Weidmann
pub_574,Pittsburgh Printing Company
pub_575,Baker & Taylor Company
pub_576,"Archibald Constable and Company, Limited"
pub_577,Juan de la Cuesta
pub_578,Pascual Bujenas
pub_579,Juan Cromberger
pub_580,Ramon Petras
pub_581,Jerónimo Verdussen
pub_582,Guillermo Drouy
pub_583,Diego López Dávalos
pub_584,Jacobo Cromberger
pub_585,Sanoya Kiheｉ
pub_586,Tsutaya Kichizo
pub_587,Eijyudo
pub_588,Hujiokaya Keijiro
pub_589,Ensｈuya Matabei
pub_590,Fukuda Kumajiro
pub_591,Yamaguchiya Tobei
pub_592,Tsutaya Jûzaburô
pub_593,Toseisha
pub_594,Johannes Hamman
pub_595,Bernardus Stagninus
pub_596,Otinus de Luna
pub_597,Knowledge Foundation
pub_598,Library of Arafah
pub_599,Press Association
pub_600,The New Library
pub_601,Scientific Library
pub_602,Arab House Tomorrow
pub_603,Gorgeous Egyptian Press
pub_604,Dar Al-Kutub Press
pub_605,The Anglo Egyptian Bookshop
pub_606,Saada Publishing
pub_607,Hidaya Foundation for the Heritage Revival
pub_608,Institutes’ Library
pub_609,Council of the Ottoman Encyclopedia Press
pub_610,Ali Akbar Publishing House
pub_611,Mustafa Halabi & Sons
pub_612,Sawy Press
pub_613,E.J. Brill
pub_614,Greater Arab Library
pub_615,Arab Center for Culture and Science
pub_616,House of Scientific Culture
pub_617,Encyclopedia of the Ottoman Press
pub_618,Paul Barber Press
pub_619,Rahmaniya Printing Press
pub_620,Library of Egypt Press
pub_621,Al-Ihsan Printing Press
pub_622,As-Saada Printing Press
pub_623,Khanji Booksellers
pub_624,Arab Scientific Society
pub_625,Al-Wahbah Printing Press
pub_626,Al-Maarifa Printing Press
pub_627,Al-Matbaa Publishing
pub_628,Vilayet Printing House
pub_629,"National government of Bosnia and Hercegovina, National Printing House"
pub_630,Ivan Fyodorov
pub_631,E. Fisher
pub_632,Braun & Schneider
pub_633,Hieronymus Höltzel
pub_634,Joint Stock Company Granberg
pub_635,F. Reichardt
pub_636,The Chinese Imperial Court
pub_637,Sampson Low
pub_638,The Camelot Press Limited
pub_639,The Religious Track Society
pub_640,Young People's Missionary Movement
pub_641,Monastery of the Three Hierarchs
pub_642,Muzeum przemysłowe miejskie
pub_643,Printed by Antonio González Reyes at the expense of Francisco Laso
pub_644,Guillermo Glindon
pub_645,St. Emmeram's Abbey
pub_646,Diocese of Basel
pub_647,Lyon
pub_648,Johann Bergmann
pub_649,Johann Schönsperger
pub_650,Sigmund Feyerabend
pub_651,Christopher Plantin
pub_652,Paul Frellon
pub_653,Krausiana
pub_654,Echeverría Brothers
pub_655,Joseph Fernandez de Buendia
pub_656,D. Antonio Espinosa de los Monteros
pub_657,Chicago Daily News
pub_658,American Motion Picture Corporation
pub_659,World Film
pub_660,25th Battery of the 3rd Colonial Artillery
pub_661,Illustrated London News
pub_662,J. Hogarth
pub_663,de Bry
pub_664,"Printed by the Uganda Company, Limited"
pub_665,"George Allen and Co., Limited"
pub_666,Press of the Universities' Mission to Central Africa
pub_667,EUY
pub_668,J. T. Bowen
pub_669,J.T. Bowen
pub_670,Lithography of Wild & Chevalier
pub_671,R. Wittig
pub_672,Lee & Walker
pub_673,G. André & Company
pub_674,"Edward L. Walker, William Hall & Son, George Oates, G.P. Reed & Company"
pub_675,L. Meignen & Company
pub_676,Kennedy & Lucas's Lithography
pub_677,L.A. Godey & Company
pub_678,Childs or Childs & Inman
pub_679,C. G. Childs
pub_680,"Pendleton, Kearny & Childs"
pub_681,Childs & Inman's Press
pub_682,Childs & Inman's Lithography
pub_683,Childs & Inman
pub_684,Childs & Inman Press
pub_685,R.H. Hobson
pub_686,M.E.D. Brown
pub_687,Childs & Inman Lithographers
pub_688,C.G. Childs & G. Lehman
pub_689,Lehman & Duval
pub_690,Lehman & Duval Lithography
pub_691,Lehman & Duval Lithographers
pub_692,P.S. Duval Lithography
pub_693,Sinclair Lithography
pub_694,F. Kuhl Lithography
pub_695,"Lithography of Pinkerton, Wagner & McGuigan"
pub_696,Printed by F. Kuhl
pub_697,Artillery Corps of Philadelphia Greys
pub_698,Printed by Wagner & McGuigan
pub_699,Wagner & McGuigan's Lithography
pub_700,Lithography of Thomas Sinclair
pub_701,Sinclair's Lithography
pub_702,Evans
pub_703,P.S. Duval
