Dewey Decimal Code,genre
861.964,Literature
784.964,Literature
860.964,Literature
627.964,Literature
387.964,Literature
305.964,Literature
324.964,Literature
721.964,Literature
749.964,Literature
050.958,Literature
234.252,Literature
234.242,Literature
213.248,Literature
202.228,Literature
872.873,Literature
213.231,Literature
252.370,Literature
500.520,Literature
264.265,Literature
206.248,Literature
242.248,Literature
491.958,Literature
385.912,Literature
591.912,Literature
622.912,Literature
383.912,Literature
912.978,History & geography
685.912,Literature
611.612,Literature
909.910,History & geography
909.912,History & geography
920.951,History & geography
745.951,Literature
294.736,Literature
613.616,Literature
613.615,Literature
782.869,Literature
386.912,Literature
181.951,Literature
627.630,Literature
750.951,Literature
724.951,Literature
495.931,Literature
181.931,Literature
737.951,Literature
495.951,Literature
413.495,Literature
039.951,Literature
079.958,Literature
