Creator,creator_id
"Katsushika, Hokusai, 1760-1849",433
"Nishikawa, Sukenobu, 1671-1751",434
"Saint-Mémin, Charles Balthazar Julien Fevret de, 1770-1852",435
"Beall, C. C., 1892-1967",436
"Pennell, Joseph, 1857-1926",437
"Catlin, George, 1796-1872",438
"Znamenskii, Mikhail Stepanovich",439
"Souter, D. H. (David Henry), 1862-1935",440
"Offner, Alfred, born 1879",441
"Fasche, Thomas",442
"Sujan, Pal, 1880",443
"Hider, Arthur H., 1870-1952",444
"Perrigard, Hal Ross, 1891-1960",445
"Jiao, Bingzhen, flourished 1680-1720",446
"Leng, Mei|Song, Junye",447
"Faivre, Abel, 1867-1945",448
"Harris, Lawren, 1885-1970",449
"Douanne, G.",450
"Bernhard, Lucian, 1883-1972",451
"Hohlwein, Ludwig, 1874-1949",452
"Gipkens, Julius, 1883-1968",453
"Ortelli, Alfredo, 1889-1963",454
"Kilian, Lucas, 1579-1637",455
"Maksimov, A. O., died 1929",456
"Pickaerdt, Pieter, 1668-1732",457
"Almendariz, Ricardo",458
"Flagg, James Montgomery, 1877-1960",459
"Preissig, Vojtěch, 1873-1944",460
"Lemon, Frank",461
"Herzinger, Emile L., 1838-1887",462
"Stuart, Gilbert, 1755-1828",463
"Bering, Vitus Jonassen, 1681-1741",464
"Cranach, Lucas, 1472-1553",465
"Dürer, Albrecht, 1471-1528",466
"Krebs, Freidrich, flourished 1780-1815",467
"Alden, James Madison, 1834-1922",468
"Berryman, Clifford Kennedy, 1869-1949",469
"Gogh, Vincent van, 1853-1890",470
"Borret, Arnold, 1848-1888",471
"Salm, Abraham",472
"Dijk, P. van",473
"Saleh, Raden, 1814-1880",474
"Springer, C.",475
"Kōkan, Shiba, 1747-1818",476
"Hishikawa, Moronobu, circa 1618-1694",477
"Hattori, Sessai, born 1807",478
"Bairnsfather, Bruce, 1887-1959",479
"Atkinson, John Augustus, 1775-1833?",480
"Oetinger, F., flourished 1785",481
"Schadow, Johann Gottfried, 1764-1850",482
"Courtois, Jacques, 1621-1676",483
"Millais, John Everett, 1829-1896",484
"Paget, Henry Marriott, 1856-1936",485
"Tenniel, John, 1820-1914",486
"Opitz, Georg Emanuel, 1775-1841",487
"Hogarth, William, 1697-1764",488
"Nast, Thomas, 1840-1902",489
"Story, John James, 1827-1900",490
"Rowlandson, Thomas, 1757?-1827",491
"Murphy, John Cullen, 1919-2004",492
"Reeks, Harry D., 1921-1982",493
"Loutherbourg, Philip James de, 1740-1812",494
"West, Benjamin, 1738-1820",495
"Verger, Jean Baptiste Antoine de, 1762-1851",496
"Schmidt, G. F. (Georg Friedrich), 1712-1775",497
"Le Sueur, Blaise Nicolas, 1716-1783|Schmidt, G. F. (Georg Friedrich), 1712-1775",498
"Fouquet, Jean,‏ approximately 1420-approximately 1480",499
"Townsend, William H., 1822-1851",500
"Buonarroti, Michelangelo, 1475-1564",501
"Riviere, Hugh Goldwin, 1869-1956",502
"Master of Los Balbases, flourished around 1495",503
"Shostak, L. A.",504
"Isoda, Koryūsai, flourished 1764-1788",505
"Alt, Rudolf von (1812-1905)",506
"Rybkowski, Tadeusz, 1848-1926",507
"Háry, Gyula, 1864-1946",508
"Ajdukiewicz, Sigismond von, 1861-1917",509
"Schulz-Neudamm, Heinz, 1899-1969",510
"Lazius, Wolfgang, 1514-1565",511
"Daniell, Samuel, 1775-1811",512
"Tōshūsai Sharaku, flourished 1794",513
"Utagawa, Toyohiro, 1773?-1829?",514
"Ishikawa, Toyonobu, 1711-1785",515
"Suzuki, Harunobu, 1725?-1770",516
"Kitao, Shigemasa, 1739-1820",517
"Sugimura, Jihei, flourished 1681-1703",518
"Utagawa, Toyoharu, 1735-1814",519
"Katsukawa, Shunshō, 1726-1793",520
"Utagawa, Toyokuni, 1769-1825",521
"Katsukawa, Shunjō, flourished 1780-1790",522
"Shigemasa, Kitao, 1739-1819",523
"Okumura, Masanobu, 1686-1764",524
"Torii, Kiyonaga, 1752-1815",525
"Santō, Kyōden, 1761-1816",526
"Andō, Hiroshige, 1797-1858",527
"Utagawa, Hiroshige, 1826?-1869",528
"Tomisato, Chōmatsu",529
"Ōmori, Yoshikiyo",530
"Enkyō, Kabukidō, 1749-1803",531
"Ryūryūkyo, Shinsai, around 1764-1820",532
"Utagawa, Kuniteru, 1808-1876",533
"Utagawa, Hiroshige, 1842?-1894",534
"Andō, Hiroshige, 1797-1858|Utagawa, Toyokuni, 1786-1865",535
"Utagawa, Hiroshige, 1826?-1869|Utagawa, Hiroshige, 1842?-1894",536
"Utamaro II, died circa 1831",537
"Illian, George, 1894-1932",538
"Neumont, Maurice, 1868-1930",539
"Hassall, John, 1868-1948",540
"Pryse, Gerald Spencer, 1882-1956",541
"Barchi, Anselmo, born 1853",542
